ID;Distanza_m;Forza_N;Accelerazione_m/s2;Posizione_x_px;Posizione_y_px;Velocità_x_px/frame;Velocità_y_px/frame;velocità orbitale
0;1880664.78;2.2414937115666265e+20;0.37533;775.22;557.38;2.22321;-2.61992;3.43607
0;1855923.79;2.3016539460063176e+20;0.38541;777.83;554.72;2.60692;-2.65601;3.72161
0;1827639.51;2.3734453038466135e+20;0.39743;780.83;552.04;3.00306;-2.68803;4.03036
0;1795706.42;2.45860994416417e+20;0.41169;784.25;549.32;3.41382;-2.71562;4.3622
0;1759999.63;2.559382236459529e+20;0.42856;788.09;546.58;3.84178;-2.73832;4.7178
0;1720371.78;2.6786482385664174e+20;0.44853;792.38;543.83;4.28999;-2.75548;5.09869
0;1676649.02;2.8201745468777025e+20;0.47223;797.14;541.06;4.7621;-2.76625;5.50724
0;1628625.82;2.9889432942388596e+20;0.50049;802.4;538.29;5.26258;-2.76951;5.94684
0;1576058.16;3.1916541416953335e+20;0.53444;808.2;535.53;5.79699;-2.76372;6.42208
0;1518654.46;3.437497287765858e+20;0.5756;814.57;532.78;6.37234;-2.74676;6.93912
0;1456063.2;3.739382158674673e+20;0.62615;821.57;530.06;6.99772;-2.71572;7.50621
0;1387855.84;4.1159642014503554e+20;0.68921;829.26;527.4;7.68516;-2.66638;8.13457
0;1313502.41;4.59513796621193e+20;0.76945;837.71;524.81;8.45106;-2.59256;8.83978
0;1232335.68;5.220381699221547e+20;0.87414;847.03;522.32;9.31853;-2.48478;9.64413
0;1143496.49;6.06304280431717e+20;1.01524;857.35;519.99;10.32157;-2.32782;10.58081
0;1045846.5;7.248103888198718e+20;1.21368;868.86;517.9;11.51284;-2.09564;11.70202
0;937820.97;9.014059568599513e+20;1.50939;881.84;516.16;12.97971;-1.73991;13.0958
0;817162.46;1.1872536036141742e+21;1.98803;896.72;515.0;14.88124;-1.15986;14.92637
0;680396.59;1.7125215898004082e+21;2.86758;914.27;514.89;17.5482;-0.10612;17.54852
0;521706.19;2.91278426591125e+21;4.8774;936.09;517.13;21.82358;2.24125;21.93837
0;330829.29;7.243565659603197e+21;12.12921;966.68;527.76;30.58884;10.62504;32.38161
0;139466.06;4.075897324572618e+22;68.25012;964.57;598.29;-2.1069;70.53387;70.56533
0;584709.74;2.3188873478952602e+21;3.88293;962.16;664.95;-2.41067;66.66284;66.70641
0;1249733.37;5.076046318471738e+20;0.84997;959.74;730.77;-2.42539;65.81299;65.85767
0;1907677.75;2.1784634492756034e+20;0.36478;957.31;796.22;-2.42489;65.44821;65.49312
0;2562298.91;1.2075377639355194e+20;0.2022;954.89;861.46;-2.42277;65.24602;65.29099
0;3215024.3;7.669936812017928e+19;0.12843;952.47;926.58;-2.42072;65.11761;65.16259
0;3866527.66;5.30295647922695e+19;0.0888;950.05;991.61;-2.419;65.02883;65.0738
0;4517178.39;3.885311316050231e+19;0.06506;947.63;1056.57;-2.41756;64.96378;65.00875
0;5167200.51;2.9692699102212375e+19;0.04972;945.22;1121.49;-2.41637;64.91408;64.95904
0;5816740.05;2.343154874715657e+19;0.03924;942.8;1186.36;-2.41538;64.87485;64.9198
0;6465897.44;1.896280951260047e+19;0.03175;940.39;1251.2;-2.41453;64.84311;64.88805
0;7114744.72;1.5661799569905445e+19;0.02623;937.97;1316.02;-2.41381;64.8169;64.86183
0;7763335.3;1.3154175082562425e+19;0.02203;935.56;1380.82;-2.41318;64.79488;64.8398
0;8411709.89;1.1204480727962212e+19;0.01876;933.15;1445.59;-2.41264;64.77613;64.82104
